quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid,density
6,10.4,0.82,0.37,68.0,0.55,0.9995
5,9.0,0.58,0.49,43.0,0.58,1.0004
6,9.5,0.59,0.745,64.0,0.12,0.99588
5,9.4,0.48,0.98,152.0,0.32,0.998
5,9.7,0.57,0.45,75.0,0.49,0.9987
3,10.9,0.4,1.58,9.0,0.0,0.99476
6,10.0,0.82,0.22,20.0,0.3,0.99672
5,9.7,0.53,0.62,84.0,0.06,0.99746
5,9.3,0.61,0.685,84.0,0.23,0.9964
7,12.6,0.75,0.38,28.0,0.4,0.99486
5,10.4,0.44,0.42,25.0,0.32,0.99628
5,9.6,0.64,0.49,31.0,0.26,0.9966
6,11.0,0.91,0.35,37.0,0.49,1.0003
6,10.3,0.59,0.635,18.0,0.17,0.9961
7,11.6,0.76,0.58,53.0,0.02,0.99374
5,9.3,0.52,0.835,14.0,0.0,0.9975
6,9.8,0.68,0.38,41.0,0.66,1.001
6,9.8,0.54,0.57,9.0,0.21,0.99458
7,12.5,0.84,0.57,27.0,0.01,0.9934
6,12.9,0.82,0.52,70.0,0.32,0.99418
6,9.5,0.62,0.41,14.0,0.42,0.9994
5,11.0,0.52,0.56,44.0,0.08,0.9958
7,12.5,0.72,0.52,26.0,0.08,0.99358
6,10.5,0.71,0.5,17.0,0.3,0.99774
6,9.9,0.89,0.41,54.0,0.55,0.9996
6,9.5,0.62,0.36,65.0,0.31,0.99716
7,12.4,0.88,0.33,48.0,0.39,0.99528
5,10.5,0.63,0.47,20.0,0.46,0.99647
6,11.9,0.59,0.21,165.0,0.4,0.9912
5,10.0,0.46,0.885,31.0,0.2,0.9946
5,9.3,0.6,0.69,38.0,0.0,0.999
6,9.0,0.59,0.545,35.0,0.18,0.9972
5,9.2,0.64,0.415,45.0,0.36,0.9972
5,9.4,0.62,0.54,40.0,0.45,0.9991
5,9.2,0.73,0.935,114.0,0.43,0.997
5,10.0,0.48,0.74,48.0,0.07,0.99502
8,11.3,0.76,0.38,29.0,0.31,0.99472
7,10.0,0.73,0.615,42.0,0.66,1.0022
6,10.3,0.76,0.45,49.0,0.55,0.9997
4,10.0,0.54,0.35,48.0,0.24,0.99576
5,10.5,0.58,0.6,44.0,0.08,0.9949
6,9.3,0.67,0.4,17.0,0.41,0.9984
7,11.8,0.66,0.51,15.0,0.64,0.9973
5,9.5,0.93,0.56,47.0,0.19,0.9964
6,10.9,0.6,0.55,56.0,0.04,0.9962
7,10.5,0.56,0.58,18.0,0.01,0.99568
6,10.0,0.61,0.54,40.0,0.28,0.9978
6,10.3,0.83,0.53,44.0,0.06,0.99489
5,11.0,0.54,0.6,45.0,0.08,0.99336
6,11.9,0.53,0.36,8.0,0.66,0.99642
5,10.4,0.6,0.48,61.0,0.25,0.9953
6,10.8,0.53,0.63,39.0,0.01,0.99522
5,9.5,0.46,0.47,29.0,0.47,0.9979
5,10.5,0.47,0.49,14.0,0.1,0.99562
6,9.0,0.65,0.52,38.0,0.25,0.9984
6,9.1,0.62,0.58,63.0,0.13,0.9984
5,9.4,0.56,0.66,40.0,0.0,0.9978
8,9.8,0.82,0.31,29.0,0.72,0.9987
6,10.6,0.6,0.46,34.0,0.24,0.9948
6,9.6,0.66,0.56,46.0,0.08,0.9971
5,10.1,0.54,0.6,99.0,0.03,0.995
5,9.4,0.58,0.39,20.0,0.08,0.9954
4,10.0,0.52,0.5,14.0,0.24,0.9978
6,10.4,0.81,0.2,51.0,0.43,0.99672
5,11.2,0.72,0.48,16.0,0.29,0.9968
5,9.8,0.5,0.87,31.0,0.0,0.99656
6,11.8,0.57,0.74,10.0,0.09,0.99418
5,9.0,0.53,0.62,24.0,0.08,0.9978
5,9.1,0.61,0.69,27.0,0.05,0.9974
6,9.5,0.59,0.38,70.0,0.3,0.99685
7,12.0,1.13,0.27,18.0,0.53,0.9962
5,10.3,0.53,0.48,16.0,0.28,0.99682
6,12.5,0.7,0.43,16.0,0.45,0.9948
7,10.5,0.68,0.5,42.0,0.59,0.998
7,10.8,0.77,0.3,28.0,0.74,0.9994
5,11.95,0.54,0.65,18.0,0.06,0.99348
6,11.3,0.62,0.36,10.0,0.52,0.99568
4,12.0,0.56,0.4,10.0,0.4,0.99566
4,9.0,0.48,0.55,42.0,0.03,0.9956
6,12.7,0.44,0.18,109.0,0.37,0.99007
5,9.8,0.5,0.87,31.0,0.0,0.99656
6,12.8,0.61,0.75,32.0,0.01,0.9955
7,11.2,0.81,0.37,19.0,0.43,0.9955
6,9.5,0.62,0.43,86.0,0.34,0.9987
6,9.5,0.58,0.58,94.0,0.23,0.99686
5,9.2,0.54,0.58,65.0,0.08,0.9959
6,10.7,0.43,0.91,47.0,0.07,0.99525
5,9.6,0.49,0.48,64.0,0.08,0.99529
6,10.1,0.97,0.18,23.0,0.51,0.9996
6,10.8,0.49,0.725,17.0,0.09,0.99655
5,9.4,0.55,0.4,142.0,0.49,0.9978
6,10.5,0.63,0.4,62.0,0.31,0.9966
5,9.1,0.59,0.47,106.0,0.49,0.9982
5,9.8,0.46,0.53,19.0,0.01,0.995
7,11.0,0.85,0.36,44.0,0.46,0.99534
6,11.4,0.55,0.38,12.0,0.57,0.99605
5,10.7,0.49,0.46,37.0,0.14,0.99624
5,9.5,0.54,0.62,85.0,0.06,0.99746
5,10.3,0.64,0.43,58.0,0.32,0.9974
4,11.3,0.64,0.935,86.0,0.22,1.001
6,9.5,0.81,0.34,53.0,0.52,1.0014
6,9.9,0.68,0.53,22.0,0.13,0.99573
6,10.2,0.63,0.63,69.0,0.28,0.99734
6,9.2,0.56,0.43,37.0,0.36,0.99615
6,10.8,0.62,0.57,35.0,0.02,0.99557
6,11.8,0.89,0.62,46.0,0.12,0.99504
7,11.5,0.71,0.66,59.0,0.39,0.9989
3,10.2,0.52,0.875,14.0,0.05,0.99808
5,11.2,0.8,0.47,28.0,0.27,0.99516
5,9.5,0.6,0.45,72.0,0.34,0.998
5,10.1,0.9,0.57,89.0,0.25,0.9963
5,10.5,0.53,0.35,21.0,0.48,0.9986
5,10.2,0.61,0.57,26.0,0.02,0.99575
5,9.3,0.52,0.63,119.0,0.17,0.998
5,9.5,0.55,0.5,143.0,0.33,0.9968
3,9.95,0.63,0.76,12.0,0.02,0.996
5,9.0,1.17,0.49,62.0,0.51,0.9979
6,9.5,0.54,0.67,48.0,0.1,0.99888
6,11.6,0.56,0.74,26.0,0.09,0.99402
7,10.0,0.47,0.65,21.0,0.0,0.9946
5,9.5,0.52,0.73,13.0,0.21,0.9968
5,9.7,0.54,0.49,44.0,0.19,0.9957
6,10.3,0.6,0.57,36.0,0.05,0.99564
5,10.0,0.67,0.785,21.0,0.24,0.99692
7,10.8,1.05,0.24,22.0,0.42,0.9976
7,10.0,0.7,0.31,28.0,0.09,0.99459
6,12.2,0.6,0.4,46.0,0.43,0.9943
6,9.4,0.54,0.53,105.0,0.24,0.996
6,14.0,0.79,0.46,18.0,0.45,0.9947
6,9.3,0.65,0.45,18.0,0.23,0.99774
4,11.0,0.58,0.845,14.0,0.01,0.9967
5,11.3,0.56,0.78,15.0,0.23,0.997
5,12.9,0.55,0.605,25.0,0.05,0.99258
6,11.9,0.53,0.36,8.0,0.66,0.99642
5,9.2,0.42,0.81,85.0,0.25,0.99668
5,9.2,0.52,0.42,88.0,0.21,0.99823
6,10.4,0.6,0.83,43.0,0.0,0.99822
6,11.3,0.6,0.69,21.0,0.07,0.99572
5,9.4,0.55,0.57,144.0,0.27,0.99782
6,9.0,0.47,0.34,57.0,0.38,0.9978
5,9.2,1.34,0.46,45.0,0.59,0.99702
6,10.1,0.64,0.63,28.0,0.33,0.99531
7,10.5,0.56,0.58,18.0,0.01,0.99568
5,9.7,0.6,0.685,22.0,0.0,0.99606
7,12.8,0.55,0.36,8.0,0.32,0.9928
5,10.6,0.97,0.32,58.0,0.25,0.99633
5,9.5,0.55,0.58,32.0,0.22,0.9974
6,13.6,0.66,0.4,80.0,0.5,0.9902
6,11.7,0.57,0.44,64.0,0.2,0.9935
7,11.2,0.54,0.34,10.0,0.36,0.99419
6,9.9,0.52,0.38,49.0,0.06,0.99625
6,10.4,0.64,0.77,74.0,0.12,0.99865
6,9.6,0.72,0.5,31.0,0.18,0.99761
5,9.8,0.53,0.61,88.0,0.26,0.99612
5,9.5,0.64,0.5,27.0,0.46,1.0001
6,11.8,0.53,0.605,31.0,0.02,0.995
6,9.7,0.67,0.31,46.0,0.44,0.9988
6,12.4,0.86,0.53,19.0,0.6,0.99585
7,11.0,0.9,0.24,24.0,0.47,0.9978
6,10.8,0.61,0.39,35.0,0.69,0.9994
6,10.4,0.68,0.42,64.0,0.09,0.99724
6,13.2,0.57,0.38,11.0,0.48,0.99577
7,11.6,0.66,0.34,9.0,0.4,0.99738
5,9.3,0.71,0.69,112.0,0.49,0.9968
5,9.6,0.47,0.835,19.0,0.03,0.9966
5,9.7,0.53,0.31,85.0,0.57,0.9971
5,9.4,0.49,0.39,27.0,0.12,0.99596
5,9.6,0.42,0.655,35.0,0.26,0.99738
7,11.7,0.84,0.3,25.0,0.34,0.99516
7,11.2,0.68,0.685,43.0,0.76,1.0032
6,11.7,0.57,0.36,42.0,0.24,0.9946
6,11.4,0.65,0.715,35.0,0.0,0.99533
5,9.5,0.61,0.565,112.0,0.34,0.9998
6,11.6,0.63,0.52,32.0,0.08,0.99646
5,10.5,0.51,0.49,37.0,0.19,0.9966
6,9.1,0.48,0.84,10.0,0.34,0.99554
8,10.0,1.1,0.33,13.0,0.33,0.996
