volatile acidity,citric acid,total sulfur dioxide,alcohol,quality
1.33,0.0,12.0,10.9,5
0.62,0.35,52.0,10.8,5
0.76,0.68,64.0,9.1,6
0.53,0.24,139.0,9.5,5
0.6,0.29,15.0,9.1,5
0.56,0.23,104.0,9.4,5
0.43,0.22,56.0,9.5,6
0.28,0.54,29.0,9.8,7
0.53,0.49,17.0,11.7,6
0.53,0.04,31.0,10.0,6
0.56,0.17,24.0,10.55,7
0.47,0.02,44.0,12.8,6
0.63,0.21,65.0,9.6,5
0.44,0.0,38.0,11.4,6
0.615,0.0,59.0,9.9,5
0.43,0.49,116.0,9.5,5
0.39,0.4,26.0,10.2,6
0.33,0.63,22.0,11.2,7
0.765,0.0,22.0,10.9,6
0.24,0.47,24.0,11.0,7
0.52,0.09,49.0,10.6,7
0.39,0.54,101.0,9.5,5
0.39,0.63,18.0,9.5,5
0.21,0.52,23.0,10.4,5
0.64,0.27,77.0,9.1,6
0.66,0.15,59.0,9.6,5
0.705,0.12,28.0,10.0,5
0.62,0.67,19.0,13.4,8
0.58,0.13,36.0,11.2,6
1.025,0.43,84.0,10.1,5
0.56,0.13,42.0,9.2,5
0.69,0.22,94.0,9.5,5
0.43,0.42,129.0,10.5,5
0.49,0.28,136.0,9.9,6
0.72,0.0,14.0,9.8,5
0.46,0.2,54.0,10.4,6
0.6,0.0,10.0,10.4,6
0.74,0.03,16.0,11.5,6
0.54,0.37,95.0,9.0,6
0.47,0.49,47.0,12.7,6
0.6,0.26,131.0,9.9,5
0.735,0.02,124.0,9.9,5
0.3,0.68,289.0,12.3,7
0.36,0.25,16.0,10.1,6
0.36,0.65,71.0,14.9,5
1.18,0.21,41.0,10.5,5
1.07,0.09,89.0,9.0,5
0.34,0.37,58.0,9.4,6
0.64,0.22,33.0,11.0,5
0.46,0.24,34.0,10.6,6
0.4,0.51,27.0,13.4,7
0.78,0.22,32.0,10.6,6
0.4,0.51,24.0,9.3,6
0.685,0.26,143.0,9.4,5
0.35,0.49,35.0,12.0,7
0.63,0.31,64.0,9.3,5
0.38,0.38,90.0,8.5,5
0.55,0.21,28.0,9.7,5
0.78,0.51,66.0,9.2,5
0.685,0.35,92.0,9.4,5
0.24,0.46,21.0,10.8,7
0.46,0.26,53.0,9.2,6
0.3,0.6,27.0,10.1,6
0.55,0.17,53.0,9.4,5
0.27,0.6,25.0,10.6,6
0.5,0.34,14.0,10.7,6
0.55,0.21,28.0,9.7,5
0.32,0.59,15.0,9.6,5
0.48,0.53,10.0,12.1,7
0.64,0.05,17.0,10.6,5
0.6,0.49,19.0,11.4,5
0.775,0.22,48.0,9.6,5
0.6,0.01,37.0,10.9,6
0.56,0.03,46.0,10.6,5
0.84,0.03,48.0,12.3,7
0.5,0.0,26.0,9.5,5
0.39,0.49,20.0,10.3,6
0.39,0.24,7.0,11.4,4
0.66,0.0,23.0,9.9,6
0.48,0.24,106.0,9.2,5
0.31,0.32,36.0,12.6,6
0.46,0.14,37.0,9.8,5
0.53,0.12,12.0,9.2,5
0.48,0.31,15.0,10.3,6
0.62,0.09,108.0,9.8,5
0.59,0.18,74.0,9.4,5
0.33,0.45,37.0,11.1,7
0.34,0.32,113.0,11.1,5
0.55,0.23,48.0,10.3,6
0.69,0.08,52.0,10.2,6
0.23,0.57,8.0,9.9,6
0.42,0.57,10.0,9.6,5
0.49,0.2,14.0,10.5,6
0.55,0.13,35.0,9.7,6
0.5,0.35,127.0,9.4,5
0.625,0.2,119.0,9.1,4
0.39,0.4,50.0,10.9,6
0.755,0.15,84.0,9.5,5
0.18,0.51,23.0,10.1,6
0.47,0.44,51.0,9.9,4
0.57,0.02,35.0,10.8,6
0.43,0.24,45.0,10.0,6
0.28,0.48,12.0,12.4,7
0.28,0.56,60.0,9.8,6
0.61,0.01,25.0,10.5,5
0.51,0.18,28.0,9.5,6
0.735,0.0,28.0,9.4,5
0.31,0.34,35.0,12.5,7
0.3,0.41,24.0,11.7,7
0.34,0.27,44.0,12.0,6
0.7,0.15,27.0,11.9,6
0.635,0.1,60.0,10.9,6
0.47,0.49,110.0,9.8,5
0.55,0.15,40.0,10.1,5
0.41,0.54,41.0,9.9,7
0.615,0.66,42.0,10.0,7
0.52,0.26,140.0,9.5,5
0.54,0.13,66.0,9.4,5
0.55,0.15,35.0,11.6,6
0.31,0.51,28.0,9.8,6
0.68,0.02,94.0,10.0,5
0.38,0.56,24.0,10.9,6
0.37,0.43,82.0,9.7,6
0.69,0.07,21.0,11.3,6
0.37,0.52,26.0,9.5,5
0.59,0.02,94.0,9.7,6
0.37,0.76,38.0,13.0,7
0.62,0.32,54.0,9.4,5
0.48,0.64,20.0,11.7,6
0.4,0.48,49.0,9.7,6
0.865,0.03,58.0,12.7,6
0.58,0.0,18.0,9.4,5
0.8,0.11,31.0,9.9,5
0.6,0.0,13.0,10.8,5
1.02,0.04,85.0,10.5,4
0.5,0.42,51.0,11.5,6
0.775,0.0,23.0,10.7,5
0.49,0.2,50.0,9.2,6
0.475,0.4,28.0,10.033,6
0.28,0.56,103.0,10.5,7
0.32,0.56,8.0,11.4,6
0.31,0.36,39.0,11.8,5
0.88,0.04,20.0,9.9,5
0.42,0.25,90.0,9.1,5
0.715,0.01,43.0,11.8,6
0.34,0.48,9.0,12.1,7
0.69,0.21,141.0,9.9,5
0.76,0.0,52.0,11.5,6
0.33,0.23,45.0,9.3,5
0.65,0.37,65.0,10.4,6
0.36,0.3,24.0,11.4,8
0.45,0.5,47.0,11.0,6
0.49,0.36,14.0,10.9,6
0.655,0.16,25.0,9.7,5
0.7,0.08,16.0,12.6,5
0.53,0.0,14.0,10.0,6
0.54,0.26,147.0,9.7,5
0.5,0.14,23.0,10.4,5
0.37,0.65,8.0,11.0,5
0.6,0.25,38.0,9.8,5
0.685,0.1,12.0,9.55,6
0.69,0.0,10.0,9.7,6
0.74,0.0,46.0,12.5,6
0.75,0.01,18.0,12.8,6
0.735,0.16,77.0,9.3,5
0.42,0.27,55.0,12.3,7
0.695,0.53,21.0,12.2,7
0.47,0.08,38.0,9.6,6
0.76,0.04,54.0,9.8,5
0.6,0.06,59.0,9.4,5
0.46,0.2,54.0,10.4,6
0.51,0.18,28.0,9.5,6
0.35,0.4,24.0,12.0,7
0.65,0.02,31.0,9.7,5
0.725,0.24,134.0,9.3,5
0.965,0.1,22.0,9.5,5
0.26,0.45,49.0,9.6,5
0.32,0.52,44.0,11.5,6
0.62,0.18,50.0,9.3,5
0.295,0.4,21.0,10.9,6
0.52,0.25,38.0,9.0,6
0.33,0.42,20.0,12.7,7
0.38,0.55,16.0,9.4,5
0.58,0.02,40.0,12.6,6
0.595,0.41,109.0,9.3,5
0.45,0.31,50.0,9.9,6
0.645,0.0,18.0,9.6,6
0.75,0.01,18.0,12.8,6
0.705,0.07,15.0,10.7,5
0.43,0.42,128.0,10.5,5
0.45,0.2,15.0,9.2,5
0.41,0.45,14.0,11.8,7
0.83,0.37,70.0,9.9,5
0.885,0.03,8.0,9.1,4
0.67,0.02,92.0,11.067,6
0.44,0.58,24.0,12.0,7
0.74,0.08,45.0,9.8,5
0.575,0.22,65.0,9.2,5
0.43,0.4,52.0,10.0,7
0.5,0.55,24.0,10.9,6
0.36,0.32,79.0,11.0,6
0.6,0.5,71.0,9.7,5
0.32,0.42,19.0,11.8,7
0.49,0.19,26.0,9.8,6
0.51,0.0,54.0,10.7,6
0.825,0.24,13.0,10.7,6
0.18,0.51,88.0,11.8,7
0.72,0.01,32.0,9.6,5
0.5,0.36,17.0,10.8,6
0.4,0.29,66.0,9.5,6
0.63,0.0,77.5,9.5,5
0.32,0.65,47.0,10.6,5
0.26,0.26,77.0,10.9,6
0.49,0.26,31.0,9.6,5
0.765,0.04,14.0,9.7,4
1.04,0.05,29.0,9.9,6
0.3,0.68,278.0,12.3,7
0.45,0.73,22.0,11.2,6
0.42,0.46,16.0,12.3,6
0.6,0.49,41.0,10.5,6
0.315,0.54,15.0,9.2,6
0.3,0.39,9.0,11.5,7
0.42,0.27,148.0,11.3,6
0.41,0.76,45.0,9.4,5
0.89,0.3,60.0,10.2,5
0.36,0.3,70.0,9.4,5
0.6,0.18,86.0,9.3,6
0.69,0.32,91.0,10.1,5
0.795,0.0,52.0,11.6,5
0.57,0.0,45.0,9.4,6
0.59,0.0,58.0,9.3,6
0.28,0.6,22.0,10.6,5
0.24,0.54,57.0,9.2,5
0.575,0.61,24.0,9.0,5
0.885,0.0,12.0,10.8,5
0.53,0.14,29.0,12.1,6
0.28,0.28,100.0,11.7,7
0.79,0.21,68.0,9.2,5
0.37,0.25,49.0,9.8,6
0.63,0.03,88.0,9.8,6
0.395,0.13,28.0,12.4,6
0.5,0.0,26.0,9.5,5
0.63,0.24,33.0,9.4,5
0.25,0.37,41.0,12.4,7
0.56,0.14,18.0,9.3,5
0.61,0.3,46.0,9.3,4
0.35,0.53,16.0,11.0,8
1.0,0.09,37.0,9.0,6
0.53,0.79,77.0,13.0,5
0.67,0.3,62.0,10.2,6
0.37,0.55,68.0,10.4,6
0.49,0.58,43.0,9.0,5
0.745,0.12,64.0,9.5,6
0.98,0.32,152.0,9.4,5
0.45,0.49,75.0,9.7,5
1.58,0.0,9.0,10.9,3
0.22,0.3,20.0,10.0,6
0.62,0.06,84.0,9.7,5
0.685,0.23,84.0,9.3,5
0.38,0.4,28.0,12.6,7
0.42,0.32,25.0,10.4,5
0.49,0.26,31.0,9.6,5
0.35,0.49,37.0,11.0,6
0.635,0.17,18.0,10.3,6
0.58,0.02,53.0,11.6,7
0.835,0.0,14.0,9.3,5
0.38,0.66,41.0,9.8,6
0.57,0.21,9.0,9.8,6
0.57,0.01,27.0,12.5,7
0.52,0.32,70.0,12.9,6
0.41,0.42,14.0,9.5,6
0.56,0.08,44.0,11.0,5
0.52,0.08,26.0,12.5,7
0.5,0.3,17.0,10.5,6
0.41,0.55,54.0,9.9,6
0.36,0.31,65.0,9.5,6
0.33,0.39,48.0,12.4,7
0.47,0.46,20.0,10.5,5
0.21,0.4,165.0,11.9,6
0.885,0.2,31.0,10.0,5
0.69,0.0,38.0,9.3,5
0.545,0.18,35.0,9.0,6
0.415,0.36,45.0,9.2,5
0.54,0.45,40.0,9.4,5
0.935,0.43,114.0,9.2,5
0.74,0.07,48.0,10.0,5
0.38,0.31,29.0,11.3,8
0.615,0.66,42.0,10.0,7
0.45,0.55,49.0,10.3,6
0.35,0.24,48.0,10.0,4
0.6,0.08,44.0,10.5,5
0.4,0.41,17.0,9.3,6
0.51,0.64,15.0,11.8,7
0.56,0.19,47.0,9.5,5
0.55,0.04,56.0,10.9,6
0.58,0.01,18.0,10.5,7
0.54,0.28,40.0,10.0,6
0.53,0.06,44.0,10.3,6
0.6,0.08,45.0,11.0,5
0.36,0.66,8.0,11.9,6
0.48,0.25,61.0,10.4,5
0.63,0.01,39.0,10.8,6
0.47,0.47,29.0,9.5,5
0.49,0.1,14.0,10.5,5
0.52,0.25,38.0,9.0,6
0.58,0.13,63.0,9.1,6
0.66,0.0,40.0,9.4,5
0.31,0.72,29.0,9.8,8
0.46,0.24,34.0,10.6,6
0.56,0.08,46.0,9.6,6
0.6,0.03,99.0,10.1,5
0.39,0.08,20.0,9.4,5
0.5,0.24,14.0,10.0,4
0.2,0.43,51.0,10.4,6
0.48,0.29,16.0,11.2,5
0.87,0.0,31.0,9.8,5
0.74,0.09,10.0,11.8,6
0.62,0.08,24.0,9.0,5
0.69,0.05,27.0,9.1,5
0.38,0.3,70.0,9.5,6
0.27,0.53,18.0,12.0,7
0.48,0.28,16.0,10.3,5
0.43,0.45,16.0,12.5,6
0.5,0.59,42.0,10.5,7
0.3,0.74,28.0,10.8,7
0.65,0.06,18.0,11.95,5
0.36,0.52,10.0,11.3,6
0.4,0.4,10.0,12.0,4
0.55,0.03,42.0,9.0,4
0.18,0.37,109.0,12.7,6
0.87,0.0,31.0,9.8,5
0.75,0.01,32.0,12.8,6
0.37,0.43,19.0,11.2,7
0.43,0.34,86.0,9.5,6
0.58,0.23,94.0,9.5,6
0.58,0.08,65.0,9.2,5
0.91,0.07,47.0,10.7,6
0.48,0.08,64.0,9.6,5
0.18,0.51,23.0,10.1,6
0.725,0.09,17.0,10.8,6
0.4,0.49,142.0,9.4,5
0.4,0.31,62.0,10.5,6
0.47,0.49,106.0,9.1,5
0.53,0.01,19.0,9.8,5
0.36,0.46,44.0,11.0,7
0.38,0.57,12.0,11.4,6
0.46,0.14,37.0,10.7,5
0.62,0.06,85.0,9.5,5
0.43,0.32,58.0,10.3,5
0.935,0.22,86.0,11.3,4
0.34,0.52,53.0,9.5,6
0.53,0.13,22.0,9.9,6
0.63,0.28,69.0,10.2,6
0.43,0.36,37.0,9.2,6
0.57,0.02,35.0,10.8,6
0.62,0.12,46.0,11.8,6
0.66,0.39,59.0,11.5,7
0.875,0.05,14.0,10.2,3
0.47,0.27,28.0,11.2,5
0.45,0.34,72.0,9.5,5
0.57,0.25,89.0,10.1,5
0.35,0.48,21.0,10.5,5
0.57,0.02,26.0,10.2,5
0.63,0.17,119.0,9.3,5
0.5,0.33,143.0,9.5,5
0.76,0.02,12.0,9.95,3
0.49,0.51,62.0,9.0,5
0.67,0.1,48.0,9.5,6
0.74,0.09,26.0,11.6,6
0.65,0.0,21.0,10.0,7
0.73,0.21,13.0,9.5,5
0.49,0.19,44.0,9.7,5
0.57,0.05,36.0,10.3,6
0.785,0.24,21.0,10.0,5
0.24,0.42,22.0,10.8,7
0.31,0.09,28.0,10.0,7
0.4,0.43,46.0,12.2,6
0.53,0.24,105.0,9.4,6
0.46,0.45,18.0,14.0,6
0.45,0.23,18.0,9.3,6
0.845,0.01,14.0,11.0,4
0.78,0.23,15.0,11.3,5
0.605,0.05,25.0,12.9,5
0.36,0.66,8.0,11.9,6
0.81,0.25,85.0,9.2,5
0.42,0.21,88.0,9.2,5
0.83,0.0,43.0,10.4,6
0.69,0.07,21.0,11.3,6
0.57,0.27,144.0,9.4,5
0.34,0.38,57.0,9.0,6
0.46,0.59,45.0,9.2,5
0.63,0.33,28.0,10.1,6
0.58,0.01,18.0,10.5,7
0.685,0.0,22.0,9.7,5
0.36,0.32,8.0,12.8,7
0.32,0.25,58.0,10.6,5
0.58,0.22,32.0,9.5,5
0.4,0.5,80.0,13.6,6
0.44,0.2,64.0,11.7,6
0.34,0.36,10.0,11.2,7
0.38,0.06,49.0,9.9,6
0.77,0.12,74.0,10.4,6
0.5,0.18,31.0,9.6,6
0.61,0.26,88.0,9.8,5
0.5,0.46,27.0,9.5,5
0.605,0.02,31.0,11.8,6
0.31,0.44,46.0,9.7,6
0.53,0.6,19.0,12.4,6
0.24,0.47,24.0,11.0,7
0.39,0.69,35.0,10.8,6
0.42,0.09,64.0,10.4,6
0.38,0.48,11.0,13.2,6
0.34,0.4,9.0,11.6,7
0.69,0.49,112.0,9.3,5
0.835,0.03,19.0,9.6,5
0.31,0.57,85.0,9.7,5
0.39,0.12,27.0,9.4,5
0.655,0.26,35.0,9.6,5
0.3,0.34,25.0,11.7,7
0.685,0.76,43.0,11.2,7
0.36,0.24,42.0,11.7,6
0.715,0.0,35.0,11.4,6
0.565,0.34,112.0,9.5,5
0.52,0.08,32.0,11.6,6
0.49,0.19,37.0,10.5,5
0.84,0.34,10.0,9.1,6
0.33,0.33,13.0,10.0,8
0.51,0.02,31.0,10.5,6
0.7,0.0,34.0,9.4,5
0.67,0.55,13.0,9.5,6
0.6,0.22,105.0,9.9,5
0.34,0.45,15.0,9.2,6
0.58,0.0,11.0,11.3,6
0.74,0.0,46.0,12.5,6
0.66,0.0,23.0,9.9,6
0.35,0.21,102.0,9.5,5
0.52,0.42,38.0,10.5,6
0.6,0.26,91.0,9.8,6
0.745,0.56,134.0,9.4,5
0.67,0.0,27.0,9.4,5
0.695,0.0,56.0,9.2,5
0.42,0.0,42.0,14.0,7
0.66,0.0,13.0,9.5,5
0.41,0.52,55.0,11.0,5
0.545,0.18,35.0,9.0,6
0.61,0.2,65.0,9.3,5
0.52,0.33,30.0,9.3,5
0.28,0.28,100.0,11.7,7
0.615,0.22,19.0,9.3,5
0.46,0.0,44.0,11.2,5
0.64,0.02,23.0,9.4,6
0.685,0.07,9.0,10.9,4
0.88,0.03,47.0,11.2,4
0.615,0.28,72.0,9.7,5
0.685,0.11,31.0,10.1,6
0.36,0.46,44.0,11.0,7
0.37,0.2,58.0,9.6,6
0.45,0.36,87.0,10.5,5
0.72,0.09,49.0,11.1,6
0.545,0.06,61.0,10.7,6
0.39,0.12,27.0,9.4,5
0.58,0.1,109.0,9.8,6
0.59,0.01,43.0,10.7,6
0.68,0.07,51.0,9.5,5
0.57,0.02,11.0,9.5,5
0.58,0.23,70.0,12.5,6
0.57,0.0,64.0,11.2,6
0.48,0.32,122.0,9.4,5
0.49,0.24,36.0,9.4,5
0.43,0.29,66.0,9.5,5
0.27,0.62,21.0,9.7,6
0.63,0.06,29.0,9.6,5
0.68,0.01,54.0,11.3,6
0.62,0.21,62.0,9.3,6
0.62,0.12,46.0,11.8,6
0.35,0.33,47.0,11.0,6
0.975,0.04,67.0,9.4,4
0.39,0.31,46.0,9.4,6
0.43,0.42,128.0,10.5,5
0.31,0.53,10.0,10.9,7
0.64,0.17,130.0,9.6,5
0.57,0.02,16.0,9.5,5
0.7,0.06,35.0,10.9,5
0.64,0.09,26.0,12.0,5
0.46,0.31,58.0,9.8,5
0.52,0.07,20.0,9.6,6
0.32,0.25,50.0,9.2,5
0.54,0.13,36.0,9.8,5
0.66,0.03,86.0,9.7,5
0.12,0.45,21.0,11.9,7
0.55,0.19,34.0,10.5,5
0.655,0.49,151.0,9.3,5
0.51,0.14,34.0,11.5,6
0.655,0.03,12.0,9.5,5
0.5,0.74,17.0,11.2,5
0.29,0.35,57.0,10.3,6
0.28,0.48,46.0,10.6,6
0.47,0.27,38.0,11.1,6
0.42,0.0,88.0,13.6,7
0.54,0.26,31.0,9.3,6
0.46,0.24,44.0,10.0,6
0.6,0.0,34.0,9.9,6
0.39,0.16,23.0,9.3,5
0.66,0.03,86.0,9.7,5
0.51,0.13,40.0,11.0,6
0.61,0.08,24.0,11.1,6
0.39,0.44,125.0,9.5,5
0.415,0.68,43.0,10.0,6
0.44,0.39,14.0,11.0,6
0.735,0.02,124.0,9.9,5
0.915,0.29,39.0,11.1,5
0.61,0.49,16.0,8.4,3
0.33,0.41,35.0,11.0,6
0.5,0.21,39.0,11.1,6
0.86,0.26,28.0,10.0,5
0.68,0.11,44.0,9.5,6
0.47,0.11,89.0,13.6,7
0.36,0.34,38.0,13.6,7
0.54,0.45,40.0,9.4,5
0.51,0.01,25.0,9.5,6
0.45,0.11,12.0,11.4,6
0.6,0.26,91.0,9.8,6
0.38,0.49,42.0,10.3,5
0.44,0.49,111.0,9.5,5
0.575,0.22,65.0,9.2,5
0.43,0.02,28.0,10.6,6
0.38,0.48,84.0,9.6,4
0.58,0.16,7.0,11.2,6
0.635,0.07,86.0,9.7,5
0.6,0.26,121.0,9.4,5
0.28,0.49,21.0,9.9,7
0.5,0.45,68.0,10.9,6
0.68,0.16,39.0,9.9,6
0.59,0.16,16.0,10.5,7
0.44,0.09,18.0,11.3,6
0.65,0.02,25.0,9.5,6
0.5,0.12,21.0,9.8,6
0.78,0.1,13.0,9.5,5
0.57,0.28,49.0,12.8,5
0.61,0.29,29.0,9.1,5
1.04,0.24,96.0,11.5,5
0.65,0.02,15.0,10.4,6
0.47,0.4,19.0,10.6,6
0.4,0.4,52.0,9.2,5
0.635,0.37,62.0,9.3,5
0.5,0.49,14.0,9.6,5
0.55,0.09,17.0,10.0,5
0.59,0.01,13.0,11.4,5
0.955,0.05,19.0,9.6,4
0.585,0.18,30.0,9.8,6
0.58,0.25,104.0,9.7,5
0.74,0.03,16.0,11.5,6
0.695,0.13,20.0,10.1,5
0.49,0.33,85.0,9.0,5
0.47,0.43,66.0,10.8,6
0.58,0.66,37.0,10.0,5
0.68,0.24,28.0,10.2,5
0.43,0.21,37.0,9.5,5
0.28,0.35,15.0,11.8,7
0.58,0.66,47.0,9.0,3
0.85,0.14,54.0,10.1,5
0.48,0.32,54.0,10.0,7
0.43,0.44,12.0,9.5,6
0.57,0.23,119.0,9.3,5
0.67,0.55,141.0,9.4,5
0.875,0.13,14.0,11.5,5
0.675,0.07,82.0,10.1,5
0.44,0.73,76.0,12.0,7
0.42,0.39,12.0,11.7,8
0.33,0.44,12.0,10.7,5
0.26,0.34,47.0,11.3,7
0.45,0.38,66.0,9.8,5
0.3,0.56,17.0,11.7,8
0.36,0.19,39.0,12.7,6
0.39,0.33,53.0,12.2,6
0.18,0.48,15.0,10.1,6
0.59,0.07,71.0,9.8,5
0.52,0.45,13.0,11.4,6
0.745,0.11,63.0,9.6,5
0.43,0.5,19.0,11.4,6
0.9,0.06,10.0,9.8,5
0.9,0.0,17.0,10.9,6
0.46,0.49,49.0,9.6,4
0.54,0.0,55.0,11.4,6
0.64,0.0,29.0,10.0,6
0.63,0.27,91.0,9.8,6
0.625,0.16,49.0,11.0,5
0.41,0.68,69.0,9.3,5
0.51,0.15,27.0,12.8,6
0.25,0.39,10.0,12.5,7
0.54,0.26,31.0,9.3,6
0.56,0.49,27.0,10.9,5
0.85,0.05,88.0,12.9,8
0.65,0.01,38.0,11.7,7
0.66,0.04,9.0,9.4,5
0.4,0.5,50.0,10.4,5
0.52,0.03,92.0,9.8,5
0.64,0.1,101.0,10.2,5
0.46,0.24,34.0,10.6,6
0.58,0.2,22.0,11.7,5
0.56,0.04,22.0,9.6,5
0.31,0.39,43.0,12.5,7
0.58,0.28,69.0,11.0,6
0.64,0.0,33.0,11.3,6
0.77,0.2,92.0,9.2,5
0.805,0.0,20.0,9.6,5
0.63,0.48,96.0,9.5,5
0.49,0.36,16.0,9.5,6
0.56,0.22,86.0,9.5,5
0.3,0.48,61.0,10.3,6
0.64,0.21,31.0,9.8,5
0.33,0.46,9.0,10.4,6
0.67,0.19,75.0,9.2,4
0.25,0.43,50.0,11.9,6
0.58,0.56,14.0,11.6,6
0.6,0.03,99.0,10.1,5
0.31,0.39,43.0,12.5,7
0.25,0.49,33.0,10.0,6
0.26,0.42,27.0,9.4,6
0.24,0.33,73.0,10.2,6
0.725,0.05,11.0,10.9,5
0.35,0.53,16.0,11.0,8
0.54,0.04,27.0,9.4,6
0.33,0.47,11.0,10.3,6
0.7,0.0,34.0,9.4,5
0.24,0.34,22.0,10.9,6
0.67,0.0,20.0,11.8,4
0.34,0.42,18.0,11.4,5
0.24,0.4,25.0,8.7,6
0.32,0.59,15.0,9.6,5
0.6,0.29,15.0,9.1,5
0.55,0.1,51.0,11.2,6
0.6,0.3,110.0,10.2,5
0.43,0.24,67.0,11.1,6
0.39,0.63,18.0,9.5,5
0.36,0.6,18.0,9.4,5
0.41,0.54,41.0,9.9,7
0.38,0.6,72.0,10.5,5
0.725,0.24,62.0,10.0,6
0.38,0.21,35.0,9.5,5
0.67,0.0,24.0,11.1,6
0.37,0.44,42.0,10.8,7
0.34,0.28,68.0,9.4,5
0.27,0.49,17.0,12.5,7
0.675,0.26,43.0,9.2,4
0.745,0.18,48.0,9.7,6
0.69,0.31,81.0,11.6,6
0.56,0.14,29.0,11.7,7
1.09,0.06,31.0,11.4,4
0.42,0.31,42.0,9.0,5
0.47,0.27,28.0,11.2,5
0.645,0.49,23.0,11.1,5
0.38,0.32,71.0,11.0,6
0.23,0.4,67.0,11.1,5
0.41,0.24,11.0,9.5,5
0.33,0.41,13.0,12.1,7
0.785,0.0,13.0,10.0,4
0.5,0.39,46.0,10.7,6
0.41,0.24,47.0,10.4,5
0.5,0.49,20.0,10.7,6
0.65,0.1,40.0,9.5,5
0.64,0.21,133.0,9.9,5
0.66,0.0,15.0,12.9,5
0.51,0.15,73.0,10.2,6
0.32,0.44,37.0,10.0,6
0.56,0.31,46.0,10.0,6
0.45,0.63,23.0,10.9,6
0.36,0.46,44.0,11.0,7
0.62,0.08,38.0,9.5,6
0.92,0.24,93.0,9.8,5
0.725,0.22,41.0,9.1,5
0.635,0.1,33.0,10.8,7
