quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid,density,chlorides,fixed acidity,pH,free sulfur dioxide,residual sugar
5,9.7,0.55,0.55,28.0,0.21,0.9964,0.071,7.6,3.28,7.0,2.2
5,10.2,0.59,0.58,55.0,0.3,0.9968,0.074,7.3,3.46,15.0,2.4
6,10.1,0.97,0.3,27.0,0.6,0.9981,0.067,11.5,3.11,12.0,2.0
4,11.4,0.43,1.09,31.0,0.06,0.9948,0.061,6.9,3.51,12.0,2.1
7,10.3,0.82,0.32,24.0,0.47,0.99695,0.056,9.6,3.22,9.0,1.4
6,9.2,0.56,0.43,37.0,0.36,0.99615,0.089,7.0,3.34,14.0,1.6
7,10.8,0.77,0.3,28.0,0.74,0.9994,0.095,12.8,3.2,9.0,2.6
7,10.8,0.77,0.3,28.0,0.74,0.9994,0.095,12.8,3.2,9.0,2.6
5,9.4,0.67,0.44,95.0,0.28,0.9966,0.1,7.8,3.22,18.0,2.7
6,12.4,0.86,0.53,19.0,0.6,0.99585,0.039,9.7,3.3,5.0,2.0
6,10.0,0.56,0.725,62.0,0.24,0.99685,0.083,8.0,3.35,10.0,2.8
5,10.1,0.43,0.57,65.0,0.26,0.9959,0.06,8.2,3.3,28.0,2.2
6,9.8,0.71,0.735,41.0,0.08,0.9974,0.092,7.8,3.24,10.0,2.4
5,10.5,0.76,0.49,121.0,0.49,0.9974,0.06,7.0,3.34,26.0,5.6
5,11.0,0.57,0.625,49.0,0.16,0.9962,0.101,8.7,3.14,13.0,2.0
5,9.1,0.55,0.725,41.0,0.22,0.9967,0.072,8.1,3.36,11.0,2.2
5,9.7,0.54,0.49,44.0,0.19,0.9957,0.076,7.5,3.39,10.0,1.9
6,9.4,0.59,0.34,58.0,0.37,0.9964,0.082,7.8,3.34,24.0,2.0
5,9.4,0.57,0.53,72.0,0.26,0.9957,0.101,7.4,3.15,16.0,2.0
5,9.5,0.6,0.61,10.0,0.04,0.99525,0.057,6.8,3.42,5.0,1.5
6,10.0,0.6,0.645,28.0,0.25,0.99815,0.083,8.6,3.28,8.0,2.0
6,10.5,0.58,0.43,63.0,0.25,0.99615,0.073,7.7,3.37,29.0,2.6
6,9.5,1.61,0.59,81.0,0.5,0.9964,0.337,8.9,3.04,27.0,2.0
7,12.2,0.62,0.48,106.0,0.04,0.9927,0.054,5.2,3.54,19.0,1.6
6,9.9,0.52,0.38,49.0,0.06,0.99625,0.078,8.0,3.37,12.0,1.8
6,9.6,0.7,0.37,58.0,0.2,0.998,0.09,8.5,3.34,18.0,2.8
6,9.0,0.55,1.0,37.0,0.09,0.99685,0.065,8.2,3.32,7.0,2.3
6,9.0,0.58,0.63,38.0,0.0,0.99675,0.097,7.2,3.37,14.0,1.9
5,9.3,1.09,0.635,62.0,0.37,0.9971,0.263,8.9,3.0,5.0,1.7
6,10.9,0.71,0.38,24.0,0.56,0.99925,0.093,12.0,3.14,6.0,2.1
6,9.8,0.49,0.58,109.0,0.1,0.99565,0.102,7.7,3.08,28.0,1.8
7,9.2,0.84,0.21,24.0,0.44,1.00005,0.075,15.0,3.07,10.0,2.2
7,9.2,0.84,0.21,24.0,0.44,1.00005,0.075,15.0,3.07,10.0,2.2
6,9.9,0.96,0.66,23.0,0.0,0.9983,0.084,7.3,3.61,6.0,2.0
5,9.5,0.52,0.68,51.0,0.07,0.99685,0.075,7.1,3.38,16.0,1.9
6,9.9,0.96,0.66,23.0,0.0,0.9983,0.084,7.3,3.61,6.0,2.0
6,10.0,0.78,0.32,37.0,0.44,0.9985,0.063,10.8,3.22,16.0,1.6
6,9.9,0.7,0.6,34.0,0.0,0.9972,0.074,7.1,3.47,16.0,1.8
5,10.5,0.53,0.35,21.0,0.48,0.9986,0.09,11.1,3.17,5.0,3.1
5,9.5,0.59,0.775,86.0,0.42,0.9959,0.092,7.7,3.23,8.0,1.9
5,9.3,0.57,0.57,119.0,0.23,0.99675,0.073,8.0,3.26,17.0,3.2
5,9.2,0.62,0.34,13.0,0.37,0.998,0.075,9.4,3.22,5.0,2.2
5,9.2,0.67,0.695,56.0,0.0,0.9968,0.075,6.6,3.49,12.0,2.1
5,9.4,1.26,0.41,45.0,0.76,0.9968,0.611,7.7,3.06,8.0,1.8
7,10.5,0.8,0.31,33.0,0.47,0.99965,0.085,10.0,3.36,14.0,2.6
5,9.3,0.65,0.33,45.0,0.23,0.99625,0.077,7.9,3.29,18.0,1.7
4,9.4,0.6,0.975,67.0,0.04,0.99565,0.087,7.0,3.35,12.0,2.0
5,10.0,0.57,0.52,35.0,0.03,0.99575,0.07,8.0,3.34,10.0,1.7
5,9.3,0.67,0.37,49.0,0.23,0.9963,0.077,7.9,3.28,23.0,1.8
5,10.9,0.87,0.56,27.0,0.49,0.9999,0.064,12.5,3.08,5.0,2.4
4,9.8,0.72,0.87,61.0,0.0,1.00025,0.096,8.1,3.6,26.0,3.3
8,12.8,0.86,0.35,37.0,0.46,0.9973,0.078,7.9,3.35,15.0,3.6
6,9.4,0.91,0.54,27.0,0.04,0.9987,0.077,6.9,3.69,7.0,3.0
6,10.1,0.97,0.18,23.0,0.51,0.9996,0.104,11.5,3.28,4.0,4.0
6,10.7,0.67,0.545,61.0,0.06,0.9965,0.087,7.9,3.36,27.0,4.0
6,10.7,0.67,0.545,61.0,0.06,0.9965,0.087,7.9,3.36,27.0,4.0
6,9.4,0.91,0.54,27.0,0.04,0.9987,0.077,6.9,3.69,7.0,3.0
6,10.1,0.97,0.18,23.0,0.51,0.9996,0.104,11.5,3.28,4.0,4.0
8,12.6,0.82,0.32,13.0,0.45,0.9976,0.073,10.3,3.23,5.0,6.4
7,10.5,0.77,0.4,47.0,0.32,0.9991,0.087,8.9,3.38,10.0,5.6
6,9.3,0.82,0.26,19.0,0.44,0.9986,0.071,11.4,3.12,6.0,3.6
7,9.9,1.08,0.27,10.0,0.68,0.9972,0.358,7.7,3.25,5.0,3.5
7,10.5,0.77,0.4,47.0,0.32,0.9991,0.087,8.9,3.38,10.0,5.6
5,9.8,0.71,0.59,71.0,0.07,1.00015,0.102,9.9,3.31,32.0,3.4
5,9.8,0.71,0.59,71.0,0.07,1.00015,0.102,9.9,3.31,32.0,3.4
6,10.3,0.76,0.45,49.0,0.55,0.9997,0.073,12.0,3.1,25.0,2.0
6,10.3,0.7,0.4,53.0,0.12,0.9967,0.092,7.5,3.37,29.0,3.0
7,10.6,0.86,0.52,49.0,0.09,0.9976,0.091,8.7,3.34,20.0,2.5
5,9.2,0.95,0.42,98.0,0.53,1.001,0.105,11.6,3.2,33.0,3.3
7,10.6,0.86,0.52,49.0,0.09,0.9976,0.091,8.7,3.34,20.0,2.5
6,10.3,0.64,0.55,48.0,0.23,0.9994,0.091,10.4,3.22,18.0,2.7
6,10.1,0.6,0.36,16.0,0.25,0.9964,0.098,6.9,3.41,5.0,2.4
6,9.5,0.81,0.34,53.0,0.52,1.0014,0.094,13.3,3.05,17.0,3.2
5,9.5,0.64,0.5,27.0,0.46,1.0001,0.073,10.8,3.05,5.0,2.5
5,9.9,0.52,0.83,70.0,0.37,0.9981,0.086,10.6,3.16,26.0,2.6
5,9.6,0.73,0.63,29.0,0.06,0.99855,0.083,7.1,3.67,8.0,2.0
5,9.7,0.8,0.65,31.0,0.02,0.9993,0.094,7.2,3.67,5.0,2.3
6,10.7,0.59,0.53,44.0,0.06,0.9965,0.086,7.5,3.38,20.0,2.6
6,10.1,0.64,0.18,15.0,0.48,0.9973,0.068,11.1,3.22,7.0,1.5
5,10.0,0.72,0.705,28.0,0.12,0.9994,0.092,8.3,3.51,12.0,2.6
5,9.2,0.52,0.65,90.0,0.6,0.9973,0.112,8.4,3.2,12.0,2.1
5,9.4,0.52,0.62,54.0,0.32,0.9966,0.082,7.6,3.36,7.0,2.2
6,9.5,0.62,0.41,14.0,0.42,0.9994,0.213,10.3,3.19,6.0,2.4
6,9.5,0.63,0.43,12.0,0.44,0.9994,0.214,10.3,3.19,5.0,2.4
6,9.4,0.54,0.53,105.0,0.24,0.996,0.072,7.9,3.27,15.0,2.0
6,9.5,0.63,0.46,98.0,0.31,0.99815,0.093,9.0,3.32,19.0,2.8
5,9.4,0.53,0.47,135.0,0.3,0.9976,0.076,8.6,3.3,30.0,3.0
5,11.0,0.68,0.36,72.0,0.29,0.99645,0.087,7.4,3.39,26.0,2.6
7,11.5,0.71,0.66,59.0,0.39,0.9989,0.083,9.8,3.37,21.0,3.2
6,10.4,0.64,0.77,74.0,0.12,0.99865,0.082,9.6,3.3,30.0,2.9
5,9.7,0.62,0.61,87.0,0.26,0.99975,0.09,9.3,3.24,25.0,3.4
6,9.2,0.69,0.49,50.0,0.2,1.0015,0.071,10.0,3.16,13.0,11.0
6,9.2,0.69,0.49,50.0,0.2,1.0015,0.071,10.0,3.16,13.0,11.0
7,11.5,0.74,0.53,14.0,0.66,0.9978,0.121,11.6,3.05,6.0,3.65
5,11.5,0.83,0.44,13.0,0.5,0.998,0.107,10.3,3.28,5.0,4.5
6,9.7,0.67,0.27,21.0,0.62,1.0002,0.082,13.4,3.16,6.0,2.6
5,11.0,0.52,0.56,44.0,0.08,0.9958,0.105,8.4,3.13,16.0,2.1
7,11.7,0.74,0.65,38.0,0.01,0.9963,0.078,7.9,3.34,17.0,2.5
7,12.2,0.84,0.695,21.0,0.53,0.9992,0.128,11.9,3.17,7.0,3.4
6,12.5,0.7,0.43,16.0,0.45,0.9948,0.052,8.9,3.35,6.0,1.9
5,10.3,0.64,0.43,58.0,0.32,0.9974,0.08,7.8,3.31,29.0,2.8
7,9.8,1.36,0.28,29.0,0.54,0.9997,0.082,12.5,3.11,12.0,2.3
6,9.8,0.75,0.39,14.0,0.47,0.9982,0.118,10.9,3.3,6.0,1.8
6,9.8,0.75,0.39,14.0,0.47,0.9982,0.118,10.9,3.3,6.0,1.8
6,10.7,0.78,0.57,32.0,0.5,1.0006,0.082,11.9,3.12,6.0,2.6
6,12.0,0.93,0.49,15.0,0.67,0.9986,0.093,13.8,3.02,6.0,3.0
6,10.0,0.92,0.56,46.0,0.31,0.9979,0.089,9.6,3.11,15.0,2.8
6,9.4,0.83,0.795,26.0,0.0,0.9994,0.096,9.1,3.35,11.0,2.6
5,9.3,0.73,0.665,19.0,0.0,0.9974,0.09,7.7,3.27,8.0,2.4
5,13.0,0.77,0.53,77.0,0.79,1.0018,0.12,13.5,3.18,23.0,4.8
6,11.9,0.59,0.21,165.0,0.4,0.9912,0.066,6.1,3.25,40.5,1.4
6,12.8,0.61,0.75,32.0,0.01,0.9955,0.078,6.7,3.55,17.0,2.4
5,11.0,0.88,0.41,55.0,0.52,1.0001,0.08,11.5,3.26,29.0,3.0
7,11.7,0.75,0.42,29.0,0.66,0.997,0.116,10.5,3.24,12.0,2.95
7,10.4,0.85,0.43,23.0,0.66,1.0,0.109,11.9,3.15,10.0,3.1
6,9.8,0.68,0.38,41.0,0.66,1.001,0.088,12.6,3.17,10.0,2.6
5,9.4,0.7,0.7,81.0,0.23,0.9973,0.099,8.2,3.19,14.0,2.0
6,9.9,0.91,0.45,50.0,0.31,0.9982,0.086,8.6,3.37,21.0,2.6
5,10.0,0.56,0.58,37.0,0.66,0.9992,0.072,11.9,3.05,6.0,2.5
5,10.2,0.87,0.46,15.0,0.63,0.9988,0.071,12.5,2.99,6.0,2.0
7,10.0,0.73,0.615,42.0,0.66,1.0022,0.083,12.8,3.07,7.0,5.8
7,10.0,0.73,0.615,42.0,0.66,1.0022,0.083,12.8,3.07,7.0,5.8
5,9.0,0.69,0.575,24.0,0.61,1.0,0.076,10.4,3.16,11.0,2.6
7,12.0,1.13,0.27,18.0,0.53,0.9962,0.074,9.4,3.2,6.0,2.4
6,8.7,0.87,0.24,25.0,0.4,0.9967,0.056,7.9,3.32,11.0,1.6
6,10.6,1.04,0.28,46.0,0.48,0.9967,0.067,9.1,3.32,26.0,1.8
6,11.0,1.11,0.45,47.0,0.5,1.0003,0.078,11.5,3.26,19.0,3.0
7,12.0,1.13,0.27,18.0,0.53,0.9962,0.074,9.4,3.2,6.0,2.4
6,13.3,0.99,0.625,24.0,0.66,0.9988,0.088,11.4,3.11,6.0,6.2
6,9.4,0.8,0.26,27.0,0.42,0.9974,0.08,8.3,3.21,11.0,2.0
5,9.2,0.74,0.51,54.0,0.28,0.998,0.087,7.7,3.42,23.0,2.1
6,9.2,0.74,0.46,53.0,0.26,0.9981,0.088,7.8,3.43,23.0,1.9
8,12.9,0.82,0.85,88.0,0.05,0.9924,0.045,5.6,3.56,12.0,1.4
6,10.0,0.8,0.415,43.0,0.68,1.0014,0.085,13.7,3.06,17.0,2.9
5,9.5,0.51,0.37,26.0,0.52,0.998,0.082,9.5,3.18,6.0,2.0
7,13.0,0.6,0.37,38.0,0.76,1.0004,0.066,12.0,3.22,7.0,4.2
5,9.9,0.53,0.735,124.0,0.02,0.9994,0.122,6.6,3.47,68.0,7.9
6,11.0,0.65,0.59,49.0,0.59,0.9988,0.087,11.5,3.18,13.0,2.6
5,9.4,0.55,0.765,42.0,0.22,0.9963,0.064,8.7,3.1,9.0,2.3
5,9.9,0.53,0.735,124.0,0.02,0.9994,0.122,6.6,3.47,68.0,7.9
6,10.5,0.61,0.48,64.0,0.54,1.0,0.085,12.2,3.1,19.0,2.6
6,10.5,0.63,0.6,41.0,0.49,0.9994,0.085,11.4,3.15,10.0,2.7
5,9.1,0.61,0.69,27.0,0.05,0.9974,0.075,7.7,3.26,15.0,2.7
6,10.8,0.65,0.44,28.0,0.47,0.9981,0.063,9.8,3.24,9.0,2.5
7,10.8,0.63,0.39,30.0,0.66,0.9996,0.093,12.0,3.18,12.0,3.0
4,9.6,0.57,0.46,49.0,0.49,0.9981,0.07,12.5,3.05,26.0,4.5
6,9.5,0.62,0.43,86.0,0.34,0.9987,0.08,9.0,3.38,26.0,2.5
5,9.3,0.64,0.735,77.0,0.16,0.9966,0.1,7.1,3.27,15.0,1.9
7,11.7,0.82,0.4,19.0,0.53,0.9986,0.097,9.9,3.27,6.0,6.7
5,9.5,0.61,0.52,122.0,0.34,0.9982,0.087,8.8,3.26,24.0,2.7
5,9.3,1.07,0.725,134.0,0.24,1.0014,0.117,8.6,3.32,31.0,6.6
6,11.7,0.66,0.48,20.0,0.64,0.997,0.111,10.6,3.26,6.0,2.2
5,10.5,0.48,0.58,124.0,0.12,0.9956,0.091,7.0,3.44,34.0,1.9
6,10.4,0.76,0.38,20.0,0.51,0.9996,0.121,11.9,3.24,7.0,2.0
5,9.9,0.68,0.77,52.0,0.0,0.9976,0.066,6.8,3.62,34.0,1.8
7,12.3,0.56,0.84,48.0,0.03,0.9952,0.059,6.6,3.52,32.0,2.3
